ANO_ESTATISTICA,MES_ESTATISTICA,CIDADE,CATEGORIA_CRIME,NUM_OCORRENCIAS,LATITUDE_MEDIAN,LONGITUDE_MEDIAN,DATA
2024,4,iracemapolis,Lesão Corporal,10,-22.5822622759999,-47.5175901,2024-04-01
2024,4,iracemapolis,Roubo,2,-22.5822622759999,-47.5175901,2024-04-01
2024,4,irapua,Crimes Diversos,3,-21.2816304,-49.4099116,2024-04-01
2024,4,irapua,Furto,6,-21.2816304,-49.4099116,2024-04-01
2024,4,irapua,Lesão Corporal,4,-21.2816304,-49.4099116,2024-04-01
2024,4,irapuru,Crimes Diversos,2,-21.56735890079995,-51.352049714,2024-04-01
2024,4,irapuru,Lesão Corporal,2,-21.56735890079995,-51.352049714,2024-04-01
2024,4,itabera,Crimes Diversos,3,-23.8621607,-49.136532,2024-04-01
2024,4,itabera,Crimes com Armas,1,-23.8621607,-49.136532,2024-04-01
2024,4,itabera,Estupro,3,-23.8621607,-49.136532,2024-04-01
2024,4,itabera,Furto,6,-23.8621607,-49.136532,2024-04-01
2024,4,itabera,Lesão Corporal,7,-23.8621607,-49.136532,2024-04-01
2024,4,itai,Crimes Diversos,5,-23.4204473,-49.0909468,2024-04-01
2024,4,itai,Estupro,2,-23.4204473,-49.0909468,2024-04-01
2024,4,itai,Furto,7,-23.4204473,-49.0909468,2024-04-01
2024,4,itai,Homicídio,2,-23.4204473,-49.0909468,2024-04-01
2024,4,itai,Lesão Corporal,11,-23.4204473,-49.0909468,2024-04-01
2024,4,itajobi,Furto,11,-21.3157369,-49.0579257,2024-04-01
2024,4,itajobi,Lesão Corporal,7,-21.3157369,-49.0579257,2024-04-01
2024,4,itajobi,Roubo,1,-21.3157369,-49.0579257,2024-04-01
2024,4,itaju,Furto,2,-21.98181798,-48.8045395,2024-04-01
2024,4,itanhaem,Crimes Diversos,17,-24.18236156,-46.7910394,2024-04-01
2024,4,itanhaem,Crimes com Armas,3,-24.18236156,-46.7910394,2024-04-01
2024,4,itanhaem,Estelionato,1,-24.18236156,-46.7910394,2024-04-01
2024,4,itanhaem,Estupro,4,-24.18236156,-46.7910394,2024-04-01
2024,4,itanhaem,Furto,240,-24.18236156,-46.7910394,2024-04-01
2024,4,itanhaem,Homicídio,4,-24.18236156,-46.7910394,2024-04-01
2024,4,itanhaem,Lesão Corporal,69,-24.18236156,-46.7910394,2024-04-01
2024,4,itanhaem,Roubo,51,-24.18236156,-46.7910394,2024-04-01
2024,4,itaoca,Estupro,1,-24.639446595,-48.8419232759999,2024-04-01
2024,4,itaoca,Furto,1,-24.639446595,-48.8419232759999,2024-04-01
2024,4,itapecerica da serra,Crimes Diversos,4,-23.71617994,-46.8359118129999,2024-04-01
2024,4,itapecerica da serra,Estelionato,2,-23.71617994,-46.8359118129999,2024-04-01
2024,4,itapecerica da serra,Estupro,8,-23.71617994,-46.8359118129999,2024-04-01
2024,4,itapecerica da serra,Furto,112,-23.71617994,-46.8359118129999,2024-04-01
2024,4,itapecerica da serra,Homicídio,5,-23.71617994,-46.8359118129999,2024-04-01
2024,4,itapecerica da serra,Lesão Corporal,56,-23.71617994,-46.8359118129999,2024-04-01
2024,4,itapecerica da serra,Roubo,135,-23.71617994,-46.8359118129999,2024-04-01
2024,4,itapetininga,Crimes Diversos,29,-23.5857315559999,-48.044572047,2024-04-01
2024,4,itapetininga,Crimes com Armas,3,-23.5857315559999,-48.044572047,2024-04-01
2024,4,itapetininga,Estupro,8,-23.5857315559999,-48.044572047,2024-04-01
2024,4,itapetininga,Furto,156,-23.5857315559999,-48.044572047,2024-04-01
2024,4,itapetininga,Homicídio,4,-23.5857315559999,-48.044572047,2024-04-01
2024,4,itapetininga,Lesão Corporal,113,-23.5857315559999,-48.044572047,2024-04-01
2024,4,itapetininga,Roubo,13,-23.5857315559999,-48.044572047,2024-04-01
2024,4,itapeva,Crimes Diversos,8,-23.9841217,-48.8811572,2024-04-01
2024,4,itapeva,Estupro,7,-23.9841217,-48.8811572,2024-04-01
2024,4,itapeva,Furto,66,-23.9841217,-48.8811572,2024-04-01
2024,4,itapeva,Lesão Corporal,48,-23.9841217,-48.8811572,2024-04-01
2024,4,itapeva,Roubo,5,-23.9841217,-48.8811572,2024-04-01
2024,4,itapevi,Crimes Diversos,21,-23.545451606,-46.936980477,2024-04-01
2024,4,itapevi,Crimes com Armas,1,-23.545451606,-46.936980477,2024-04-01
2024,4,itapevi,Estupro,4,-23.545451606,-46.936980477,2024-04-01
2024,4,itapevi,Furto,195,-23.545451606,-46.936980477,2024-04-01
2024,4,itapevi,Homicídio,7,-23.545451606,-46.936980477,2024-04-01
2024,4,itapevi,Lesão Corporal,82,-23.545451606,-46.936980477,2024-04-01
2024,4,itapevi,Roubo,94,-23.545451606,-46.936980477,2024-04-01
2024,4,itapira,Ameaça,1,-22.4342054859999,-46.8228204,2024-04-01
2024,4,itapira,Crimes Diversos,34,-22.4342054859999,-46.8228204,2024-04-01
2024,4,itapira,Estupro,5,-22.4342054859999,-46.8228204,2024-04-01
2024,4,itapira,Furto,38,-22.4342054859999,-46.8228204,2024-04-01
2024,4,itapira,Homicídio,1,-22.4342054859999,-46.8228204,2024-04-01
2024,4,itapira,Lesão Corporal,48,-22.4342054859999,-46.8228204,2024-04-01
2024,4,itapira,Roubo,21,-22.4342054859999,-46.8228204,2024-04-01
2024,4,itapirapua paulista,Furto,1,-24.5729233495,-49.1698818,2024-04-01
2024,4,itapolis,Crimes Diversos,11,-21.5963276,-48.81109,2024-04-01
2024,4,itapolis,Estupro,3,-21.5963276,-48.81109,2024-04-01
2024,4,itapolis,Furto,39,-21.5963276,-48.81109,2024-04-01
2024,4,itapolis,Homicídio,1,-21.5963276,-48.81109,2024-04-01
2024,4,itapolis,Lesão Corporal,22,-21.5963276,-48.81109,2024-04-01
2024,4,itapolis,Roubo,4,-21.5963276,-48.81109,2024-04-01
2024,4,itaporanga,Crimes Diversos,1,-23.7048218,-49.4827458,2024-04-01
2024,4,itaporanga,Furto,6,-23.7048218,-49.4827458,2024-04-01
2024,4,itaporanga,Homicídio,1,-23.7048218,-49.4827458,2024-04-01
2024,4,itaporanga,Lesão Corporal,6,-23.7048218,-49.4827458,2024-04-01
2024,4,itaporanga,Roubo,2,-23.7048218,-49.4827458,2024-04-01
2024,4,itapui,Crimes Diversos,1,-22.2341212,-48.7211934979999,2024-04-01
2024,4,itapui,Estupro,1,-22.2341212,-48.7211934979999,2024-04-01
2024,4,itapui,Furto,12,-22.2341212,-48.7211934979999,2024-04-01
2024,4,itapui,Homicídio,1,-22.2341212,-48.7211934979999,2024-04-01
2024,4,itapui,Lesão Corporal,5,-22.2341212,-48.7211934979999,2024-04-01
2024,4,itapui,Roubo,1,-22.2341212,-48.7211934979999,2024-04-01
2024,4,itapura,Furto,3,-20.6424543,-51.5089818,2024-04-01
2024,4,itapura,Lesão Corporal,2,-20.6424543,-51.5089818,2024-04-01
2024,4,itaquaquecetuba,Crimes Diversos,28,-23.4763078469999,-46.347099256,2024-04-01
2024,4,itaquaquecetuba,Crimes com Armas,2,-23.4763078469999,-46.347099256,2024-04-01
2024,4,itaquaquecetuba,Estupro,13,-23.4763078469999,-46.347099256,2024-04-01
2024,4,itaquaquecetuba,Furto,191,-23.4763078469999,-46.347099256,2024-04-01
2024,4,itaquaquecetuba,Homicídio,5,-23.4763078469999,-46.347099256,2024-04-01
2024,4,itaquaquecetuba,Lesão Corporal,143,-23.4763078469999,-46.347099256,2024-04-01
2024,4,itaquaquecetuba,Roubo,207,-23.4763078469999,-46.347099256,2024-04-01
2024,4,itarare,Crimes Diversos,8,-24.113325,-49.332214184,2024-04-01
2024,4,itarare,Crimes com Armas,1,-24.113325,-49.332214184,2024-04-01
2024,4,itarare,Estupro,2,-24.113325,-49.332214184,2024-04-01
2024,4,itarare,Furto,38,-24.113325,-49.332214184,2024-04-01
2024,4,itarare,Lesão Corporal,31,-24.113325,-49.332214184,2024-04-01
2024,4,itarare,Roubo,3,-24.113325,-49.332214184,2024-04-01
2024,4,itariri,Crimes Diversos,1,-24.2907774,-47.1745648,2024-04-01
2024,4,itariri,Crimes com Armas,1,-24.2907774,-47.1745648,2024-04-01
2024,4,itariri,Furto,11,-24.2907774,-47.1745648,2024-04-01
2024,4,itariri,Homicídio,1,-24.2907774,-47.1745648,2024-04-01
2024,4,itariri,Lesão Corporal,7,-24.2907774,-47.1745648,2024-04-01
2024,4,itariri,Roubo,1,-24.2907774,-47.1745648,2024-04-01
2024,4,itatiba,Crimes Diversos,11,-23.00757019949995,-46.8384252,2024-04-01
2024,4,itatiba,Estupro,6,-23.00757019949995,-46.8384252,2024-04-01
2024,4,itatiba,Furto,58,-23.00757019949995,-46.8384252,2024-04-01
2024,4,itatiba,Homicídio,5,-23.00757019949995,-46.8384252,2024-04-01
2024,4,itatiba,Lesão Corporal,52,-23.00757019949995,-46.8384252,2024-04-01
2024,4,itatiba,Roubo,4,-23.00757019949995,-46.8384252,2024-04-01
2024,4,itatinga,Crimes Diversos,3,-23.1039377,-48.6117374,2024-04-01
2024,4,itatinga,Estupro,1,-23.1039377,-48.6117374,2024-04-01
2024,4,itatinga,Furto,8,-23.1039377,-48.6117374,2024-04-01
2024,4,itatinga,Homicídio,1,-23.1039377,-48.6117374,2024-04-01
2024,4,itatinga,Lesão Corporal,8,-23.1039377,-48.6117374,2024-04-01
2024,4,itirapina,Crimes Diversos,10,-22.2559774,-47.8154903,2024-04-01
2024,4,itirapina,Crimes com Armas,1,-22.2559774,-47.8154903,2024-04-01
2024,4,itirapina,Furto,16,-22.2559774,-47.8154903,2024-04-01
2024,4,itirapina,Lesão Corporal,9,-22.2559774,-47.8154903,2024-04-01
2024,4,itirapina,Roubo,1,-22.2559774,-47.8154903,2024-04-01
2024,4,itirapua,Crimes Diversos,1,-20.6420619,-47.2200108,2024-04-01
2024,4,itirapua,Furto,8,-20.6420619,-47.2200108,2024-04-01
2024,4,itirapua,Lesão Corporal,5,-20.6420619,-47.2200108,2024-04-01
2024,4,itobi,Crimes Diversos,1,-21.73486873049995,-46.9719558,2024-04-01
2024,4,itobi,Furto,2,-21.73486873049995,-46.9719558,2024-04-01
2024,4,itobi,Homicídio,1,-21.73486873049995,-46.9719558,2024-04-01
2024,4,itobi,Lesão Corporal,7,-21.73486873049995,-46.9719558,2024-04-01
2024,4,itobi,Roubo,1,-21.73486873049995,-46.9719558,2024-04-01
2024,4,itu,Crimes Diversos,26,-23.2835216,-47.308301146000005,2024-04-01
2024,4,itu,Estupro,6,-23.2835216,-47.308301146000005,2024-04-01
2024,4,itu,Furto,51,-23.2835216,-47.308301146000005,2024-04-01
2024,4,itu,Homicídio,9,-23.2835216,-47.308301146000005,2024-04-01
2024,4,itu,Lesão Corporal,43,-23.2835216,-47.308301146000005,2024-04-01
2024,4,itu,Roubo,13,-23.2835216,-47.308301146000005,2024-04-01
